id,abstract_number,udc,language,country,abstract,real_id,content,comment,pages,bic,mac,ilc,tbc,source_name,volume,issue,key_words,authors,generation_date,publication_date,type,verified,create_time,verification_time,deponire_number,deponire_date,deponire_place,patent_number,appeletion_date,priore_date,patent_publication_date,patent_place,ipc,issn,isbn,rubrics,subjects
27094,16.07-17Г.152,,китайский,Китай,"Предложены процесс упрощенного расчета сложного механического оборудования, а также новый упрощенный метод расчета с помощью многоплатформенного программного обеспечения, основанные на модели непротиворечивости информации об этом оборудовании и общей технологии проектирования. Изучена теория нисходящего параметрического моделирования, глубоко базирующаяся на каркасной модели и разработанная с помощью технологии бесшовной интеграции многоплатформенного программного обеспечения, включая расчет технических характеристик, оптимизационный анализ, управление параметрической моделью, хранение конструктивных данных и планирование модели данных. На базе проведенного исследования построена программная архитектура упрощенного расчета. Разработана платформа для упрощенной оптимизации и расчета башенного крана. Завершен образец проектирования башни крана, у которого была существенно укорочена и упрощена расчетная схема. Также продемонстрирована рациональность и практичность использования данного метода.",2016-07 MH31 БД ВИНИТИ,,,48-55,,,,,"Hunan daxue xuebao. Ziran kexue ban=J. Hunan Univ. Natur. Sci.. 2016. 43, N 2, с. 48-55. Кит.; рез. англ.",43,2,"{""интеграция программных средств"",""Краны башенные"",""метод упрощенного расчета. Модели"",""оптимизационный расчет"",параметрические}","{""Ai Yan-di"",""Liu Zi-jian"",""Xu Xiao-liang"",""Zhang Kun-peng""}",2016-07-01,,1,f,2018-11-17 10:51:45.639768,,,,,,,,,,,1674-2974,,"{55.51.31,551.51.31.31.31}",{Машиностроение}
27232,15.03-01В.329,,английский,США,"Скрытая Марковская Модель (HMM) является популярной статистической моделью, использумой в случаях, где система включает не полностью наблюдаемые последовательности данных, напр., в распознавании временных шаблонов и обработке сигналов. Одной из проблем, связанной с HMM моделью, является обучающая процедура, или обучение параметров. Недостатком существующих методов решения этой проблемы является сходимость к локальному максимуму. С другой стороны, использование метода ансамбля, с применением множества моделей для получения целевой модели, приводит к обучению ансамбля в HMM задаче обучения. Здесь представлен новый метод обучения ансамбля для HMM моделей, который использует преимущества мер из теории информации, в частности Энтропии Реньи, и обеспечивает эффективное решение вышеуказанных проблем. На синтетических и реальных наборах данных продемонстрировано превосходство предлагаемого метода, требующего намного меньше обучающих выборок, над другими известными методами.",2015-03 AB22 БД ВИНИТИ,,,5767-5776,36,,,,"IEEE Trans. Signal Process.. 2013. 61, N 21-24, с. 5767-5776. Библ. 36. Англ.",61,21,"{обучение,""Скрытые марковские модели""}","{""Asadi Nazanin"",""Haghshenas Ehsan"",""Mirzaei Abdolreza""}",2015-03-01,,1,f,2018-11-17 10:51:47.39331,,,,,,,,,,,1053-587X,,"{50.41.25,502.41.25.23}","{""Автоматика и радиотехника""}"
27411,15.03-81.261,,английский,США,"Независимость случайных переменных является центральной темой в теории вероятности. Здесь исследована проблема оценки α-, β- и χ-коэффициентов смешивания между двумя случайными переменными, допускающая переменные в конечном множестве или множестве вещественных чисел. Для каждого случая явная формула замкнутого вида для β-коэффициентов смешивания уже известна. Поэтому данные исследования сфокусированы на α-коэффициенте смешивания и χ-коэффициенте смешивания, для случайных переменных, допускающих значения в конечном множестве. В случае α-коэффициентов смешивания показано, что пороговая оценка является NP-полной задачей, для которой определены эффективно вычисляемые верхние и нижние пределы. В случае χ-коэффициента смешивания получена точная формула замкнутого вида. Для каждого из трех типов коэффициентов смешивания доказана аналогия с неравенствами обработки данных в теории информации.",2015-03 AB06 БД ВИНИТИ,,,34-47,28,,,,"IEEE Trans. Autom. Contr.. 2014. 59, N 1, с. 34-47. Библ. 28. Англ.",59,1,"{""случайные переменные. Обработка данных"",""Теория вероятностей""}","{""Ahsen Mehmet Eren"",""Vidyasagar Mathukumalli""}",2015-03-01,,1,f,2018-11-17 10:51:48.913832,,,,,,,,,,,0018-9286,,"{28.29.51,282.29.51.05}","{""Автоматика и радиотехника""}"
28384,04.07-18А.0157,,английский,США,"Описана GPS, состоящая из 24 спутников Земли (по четыре спутника в каждой из шести различных плоскостей, наклоненных к плоскости экватора под углом 55°. Спутники вращаются по орбитам радиусом 20 000 км с периодом 11 ч 58 мин, причем расположены таким образом, что в любой момент из любой точки Земли можно наблюдать четыре из них над горизонтом. Каждый спутник снабжен высокоточными атомными часами и может передавать синхронные временные сигналы. Сигналы несут кодируемую информацию о времени передачи и положении спутника. Радиосигналы спутников GPS эффективно используются для точного определения местонахождения кораблей, самолетов, автомобилей и других средств передвижения. GPS снабжена устройствами самосинхронизации их работы и устройствами, учитывающими гравитационные и временные эффекты в соответствии с общей теорией относительности.     (Л. В. Чепель)",2004-07 FI20 БД ВИНИТИ,,,41-47,,,,,"Phys. Today. 2002. 55, N 5, с. 41-47. Англ.",55,5,"{""атомные часы"",""глобальная позиционная система (GPS)"",""Измерения времени"",радионавигация,""спутники (ИСЗ)"",""теория относительности""}","{""Ashby Neil""}",2004-07-01,,1,f,2018-11-17 10:51:57.973959,,,,,,,,,,,0031-9228,,"{29.03.19,291.03.19}",{Физика}
28688,15.10-04А3.506,,английский,Нидерланды,"Оптические методы позволяют получать изображения с высоким разрешением и контрастом, неинвазивно и бесконтактно. Биологические ткани являются мутной средой, сильно рассеивающей свет, ультраструктура некоторых тканей делает их в определенной степени анизотропными. Рассеяние и анизотропия влияют на поляризацию света. При некоторых патологиях изменяются эти характеристики ткани. Как следствие поляризованный свет может использоваться для получения дополнительной информации и обеспечивать диагностику. Рассмотрено применение теории групп для анализа поведения поляризации некоторых образцов. Испания, Univ. of Cantabria, Cantabria. E-mail:fanjulf@unican.es. Ил.4. Табл.1. Библ. 25",2015-10 BI38 БД ВИНИТИ,,,4525-4530,,,,,"Opt. Commun.. 2010. 283, N 22, с. 4525-4530. Англ.",283,22,"{""Биологические ткани"",изображение,обработка}","{""Arce-Diego Jose Luis"",""Fanjul-Velez Felix"",""Ortega-Quijano Noe""}",2015-10-01,,1,f,2018-11-17 10:52:00.338716,,,,,,,,,,,0030-4018,,"{34.05.25,341.05.25.15.09.13}",{Биология}
29117,15.11-04И10.255,,английский,США,"Дана оценка эффекта роли особи в конфликте (агрессор или жертва) и поведения при конфликте с физическим контактом или без на акустические параметры агонистических вокализаций (185 случаев) 15 паукообразных обезьян из двух групп, содержащихся в неволе. Результаты поддерживают прогнозы как мотивационно-структурных правил, так и мотивационную теорию. Частотные характеристики криков были понижены у агрессоров, а также в более серьезных конфликтах. Кроме того, усредненная энтропия была выше во время более серьезных конфликтов. Т.обр., агонистическая вокализация паукообразных обезьян несет в себе информацию о роли особи в конфликте (агрессор или жертва) и о серьезности самого конфликта",2015-11 BI51 БД ВИНИТИ,,,429-440,,,,,"Int. J. Primatol.. 2015. 36, N 2, с. 429-440. Англ.",36,2,"{""Ateles geoffroyi (Mamm.)"",""агонистическое поведение"",вокализация,Обезьяны,""роль особи в конфликте"",""серьезность конфликта""}","{""Arroyo-Rodriguez Victor"",""Dunn Jacob C"",""Marquez-Arias Alejandra"",""Mendez-Cardenas Maria G"",""Ordonez-Gomez Jose D"",""Santillan-Doherty Ana M""}",2015-11-01,,1,f,2018-11-17 10:52:03.901188,,,,,,,,,,,0164-0291,,"{34.33.27,341.33.27.21.25.29}",{Биология}
34262,15.06-24Г.95,,английский,США,"Показывается, что совместное оценивание нескольких акустических источников наряду с их гео-кинематической информацией может моделироваться методами теории случайных множеств",2015-06 AB11 БД ВИНИТИ,,,151-159,17,,,,"IEEE Syst. J.. 2014. 8, N 1, с. 151-159. Библ. 17. Англ.",8,1,"{""Акустические сигналы"",""слежение за источниками"",""совместное оценивание""}","{""Ali Andreas M"",""Hudson Ralph E"",""Yao Kung""}",2015-06-01,,1,f,2018-11-17 10:53:00.965382,,,,,,,,,,,1932-8184,,"{47.55.35,473.55.35.14}","{""Автоматика и радиотехника""}"
34299,15.06-29В.31,,английский,США,"Поиск схем, которые минимизируют энергию, связанную с передачей информации всегда был основным результатом в теории связи. Расширен фундаментальный предел для потребления энергии на единицу информации, который дан теорией Шеннона, до квантовой области. В отличии от ранее проведенных исследований рассмотрен сценарий, где сигналом можно управлять на произвольном маршруте в процессе распространения от передатчика к приемнику. Эта ситуация характеризует много реальных сценариев, например, многопролетные волоконно-оптические системы связи. Получен предельный квантовый лимит потребления энергии в этом сценарии и предложена простая бинарная схема модуляции энергии., которая достигает этого лимита.",2015-06 AB17 БД ВИНИТИ,,,1853-1860,,,,,"J. Lightwave Technol.. 2014. 32, N 10, с. 1853-1860. Англ.",32,10,"{""Волоконно-оптические системы связи"",""квантовые лимиты"",""потребление энергии"",схемы}","{""Antonelli C"",""Mecozzi A"",""Shtaif M"",""Winzer P J""}",2015-06-01,,1,f,2018-11-17 10:53:01.286047,,,,,,,,,,,0733-8724,,"{49.44.29,493.44.29.31.29}","{""Автоматика и радиотехника""}"
34369,15.07-01В.186,,английский,Великобритания,"Исследования, проведенные группами по проектированию глобальных систем, показывают, что доверие м.б. до некоторой степени транзитивным или импортироваться при определенных условиях. Здесь аргументировано, что доверие может распространяться между индивидуумами посредством инструментов и исследована возможность использования инструментов для поддержки развития доверия в таких группах и обеспечения распространения доверия. В частности, рассмотрена возможность использования существующих инструментов для поддержки развития доверия в таких группах и определена информация, необходимая для такого развертывания, а также показана полезность визуализации прошлого сотрудничества для развития доверия. Проведен опрос 71 частников из пяти многонациональных организаций. Представлены доказательства в поддержку теории распространяемого доверия и возможности применения инструментов для инициализации развития доверия.",2015-07 AB22 БД ВИНИТИ,,,309-320,,,,,"Inf. and Software Technol.. 2014. 56, N 3, с. 309-320. Англ.",56,3,"{""коллективные разработки"",Проектирование,""распространение доверия""}","{""Al-Ani Ban"",""Marczak Sabrina"",""Prikladnicki Rafael"",""Redmiles David""}",2015-07-01,,1,f,2018-11-17 10:53:02.157802,,,,,,,,,,,0950-5849,,"{50.41.25,502.41.25.05}","{""Автоматика и радиотехника""}"
37628,07.07-19Л.250,,английский,США,"Измерены переменнотоковые импедансные спектры симметричных элементов Pt/Ce<sub>0,9</sub>Gd<sub>0,1</sub>O<sub>1,95-δ</sub>/Pt на воздухе и в различных восстановит. атмосферах в интервале 250-650°C. Отклик электрода (Э) при восстановит. условиях показывает вклад, растянутый до очень низких частот, и, следовательно, большую кажущуюся емкость. Это обусловлено химич. диффузией в электролите, который становится смешанным ионно-электронным проводником при восстановит. условиях. Спектры интерпретированы количественно при использовании теории, разработанной Ямником и Мэйером, и лит. данных для нестехиометрич. химич. диффузии и ионной и электронной проводимости электролита. Результаты показывают, что м. б. сделаны ошибочные выводы относительно электрохимич. свойств Э (низкое зарядное сопротивление и сопротивление переноса, высокая емкость и ограничения транспорта газа) в восстановит. условиях, если используется станд. эквивалентная цепь для ионного электролита вместо надежного анализа. Результаты также выявляют условия, позволяющие получить полезную информацию об Э на основе данных импедансного спектра",2007-07 CH08 БД ВИНИТИ,,,E186-E193,13,,,,"J. Electrochem. Soc.. 2004. 151, N 5, с. E186-E193. Библ. 13. Англ.",151,5,"{""спектры переменнотоковые импедансные"",""Электролиты твердые"",""электронные ионные смешанные""}","{""Atkinson A"",""Baron S A"",""Brandon N P""}",2007-07-01,,1,f,2018-11-17 10:53:41.751743,,,,,,,,,,,0013-4651,,"{61.31.59,611.31.59.15}",{Химия}
37797,07.07-19Б3.286,,английский,Швейцария,"Путем сочетания двух методов (поляризационные кривые и электрохимическая импедансная спектроскопия) получена информация о взаимодействиях раствор/поверхность металла, происходящих в процессе Pd-P химического осаждения при равновесном потенциале на углеродистой стали. Поляризационные кривые показали, что реакция осаждения не подчиняется теории смешанного потенциала. В процессе осаждения происходит изменение лимитирующей стадии реакции. Величины, полученные для элементов эквивалентной цепи, которая соответствует пленки, позволяют характеризовать пленку как полупроводник. Это связано с присутствием инкорпорированного фосфора (~7%) в осадке в конце процесса осаждения",2007-07 CH16 БД ВИНИТИ,,,86-92,,,,,"J. Electroanal. Chem.. 2005. 581, N 1, с. 86-92. Англ.",581,1,"{Pd-P,малоуглеродистая,Осаждение,палладий,сталь,""фосфор. Подложки"",химическое,""электрохимическая импедансная спектроскопия""}","{""Abrantes Luisa M"",""De Robertis Eveline"",""Motheo Artur J"",""Neves Rodrigo S""}",2007-07-01,,1,f,2018-11-17 10:53:43.437309,,,,,,,,,,,0022-0728,,"{31.15.33,311.15.33.23}",{Химия}
41204,03.10-18В.0091,,английский,Япония,"Недавние эксперим. разработки дали богатую информацию о нестабильных ядрах, которые располагаются около линии срыва протона или нейтрона. Среди них наиболее типичным является ядро <sup>11</sup>Li , галоструктура которого объяснена через смесь (1s)<sup>2</sup>- и (0p)<sup>2</sup>-конфигураций двух валентных нейтронов. С теоретич. точки зрения механизм блокировки Паули, обусловленный появлением корреляций спаривания в <sup>9</sup>Li-остове, является хорошим кандидатом для объяснения такого вырождения s- и p-орбит в <sup>9</sup>Li+n. Среди многих эксперим. путей изучения природы <sup>10</sup>Li авторы фокусируют свое внимание на реакции развала нестабильного ядерного пучка <sup>11</sup>Li и развале изобар-аналогового состояния в <sup>11</sup>Be, т. к. эффект <sup>9</sup>Li-n-взаимодействия хорошо выражен в этих механизмах развала. В этой работе изучены s-волн. свойства <sup>10</sup>Li с помощью взаимодействия модели Паули-блокировки применением нескольких механизмов развала: двухшагового развала (на основе R-матричной теории) и модели участник-наблюдатель.",2003-10 FI06 БД ВИНИТИ,,,589-590,,,,,"Progr. Theor. Phys. Suppl.. 2002, N 146, с. 589-590. Англ.",,146,{NGPC},"{""Aoyama Shigeyoshi"",""Ikeda Kiyomi"",""Kato Kiyoshi"",""Masui Hiroshi"",""Myo Takayuki""}",2003-10-01,,1,f,2018-11-17 10:54:12.514438,,,,,,,,,,,0375-9687,,"{29.15.17,291.15.17.21.07}",{Физика}
45455,09.10-04И6.216,,английский,Германия,"""Подслушивание"" может быть определено как выделение нужной информации из контекста информационных взаимодействий между другими индивидами. Выдвинуто предположение, что облигатные гнездовые паразиты (ГП), постоянно откладывающие свои яйца в гнезда других видов птиц, могут ""подслушивать"" половые сигналы будущих гнездовых хозяев (ГХ) для обнаружения местоположения их гнезд с птенцами высокого качества. Различные вариации половых сигналов могут указывать на качество ГХ - будущих родителей, гнезда которых ГП могут избрать для откладывания паразитических яиц. Т. обр., ГП обеспечивают селекцию ГХ и выбирают наиболее подходящие для выращивания собственных птенцов. Существует теория, согласно которой ГП используют сигналы для локации потенциального ГХ независимо от качества сигнальщика. Также показано, что смягчение полоспецифичной окраски в популяциях ГХ находится под сильным давлением ГП. Испания, Dep. of Functional and Evolutionary Ecol., Estacion Experim. de Zonas Aridas, C. S. I. C., 04001 Almeria",2009-10 BI46 БД ВИНИТИ,,,81-88,,,,,"Anim. Cogn.. 2007. 10, N 2, с. 81-88. Англ.",10,2,"{""виды-гнездовые паразиты"",""качество гнездовых хозяев"",""поведение \""подслушивания\"""",""половые сигналы. Гнездовой паразитизм"",Птицы}","{""Aviles Jesus M"",""Parejo Deseada""}",2009-10-01,,1,f,2018-11-17 10:54:52.748351,,,,,,,,,,,1435-9448,,"{34.33.27,341.33.27.19.25.99}",{Биология}
47917,03.10-18Н.552,,английский,США,"Исследуются планарное фотонапряжение и фотолюминесценция последовательно выращиваемых квантовых ям Ga<sub>0,8</sub>In<sub>0,2</sub>As/GaAs и Ga<sub>0,8</sub>In<sub>0,2</sub>As<sub>0,985</sub>/GaAs. Зависимость фотонапряжения от температуры, интенсивности возбуждения, а также спектральная и временная зависимости дают информацию о центрах безызлучательной рекомбинации. Сравнение с теорией позволяет определить энергии активации ловушек и вероятность выброса захваченных фотоносителей. По данным фотолюминесценции можно определить эффективную массу электрона",2003-10 FI20 БД ВИНИТИ,,,2440-2448,32,,,,"J. Appl. Phys.. 2003. 93, N 5, с. 2440-2448. Библ. 32. Англ.",93,5,"{TQNCB,TQNKD,TQPA,TQYAH}","{""Arikan M C"",""Balkan N"",""Bedel E"",""Carrere H"",""Erol A"",""Fontaine C"",""Lacoste G"",""Marie X"",""Mazzucato S"",""Potter R J"",""Teke A""}",2003-10-01,,1,f,2018-11-17 10:55:22.218365,,,,,,,,,,,0021-8979,,"{29.19.31,291.19.31.46.21}",{Физика}
48029,08.10-01Б.168,,английский,США,Обсуждается реализация двух протоколов передачи данных - decode-and-forward (DF) и estimate-and-forward (EF). Стартовой точкой рассмотрения является схема случайного кодирования теории информации. Коды с низкой плотностью проверок на четность используются как компоненты в обоих протоколах. Эффективность каждой схемы сравнивается с теоретическим пределом,2008-10 AB22 БД ВИНИТИ,,,16-26,31,,9,,"IEEE Signal Process. Mag.. 2007. 24, N 5, с. 16-26, 9 ил.. Библ. 31. Англ.",24,5,"{Кодирование,схемы}","{""Aazhang Behnaam"",""Chakrabarti Arnab"",""Erkip Elza"",""Sabharwal Ashutosh""}",2008-10-01,,1,f,2018-11-17 10:55:23.602214,,,,,,,,,,,1053-5888,,"{50.33.03,502.33.03.15}","{""Автоматика и радиотехника"",""Вычислительные науки""}"
48255,08.11-81.385,,английский,Болгария,"Теория ожидаемой полезности представляет собой один их подходов к назначению и использованию качеств., концептуальной информации. Использование критериев ожидаемой полезности в комбинации с методом статистической информации позволяет получать системы с ожидаемыми свойствами",2008-11 AB06 БД ВИНИТИ,,,233-236,12,,7,,"International Conference ""Automatics and Informatics '06"", Sofia, Oct. 3-6, 2006: Proceedings. Sofia: Union Autom. and Inf.. 2006, с. 233-236, 7 ил.. Библ. 12. Англ.",,,"{""Аппроксимация. Оптимизация. Исследование операций""}","{""Andreev R"",""Pavlov Y"",""Terzieva V""}",2008-11-01,,4,f,2018-11-17 10:55:25.746435,,,,,,,,,,,,954-9641-48-1,"{28.29.01,282.29.01}","{""Автоматика и радиотехника""}"
48425,08.12-81.364,,английский,США,"Снижение уровня прибыли и диверсификация производства определяют необходимость тщательного анализа инвестиций и принятия решений, как необходимое условие выживания производства в современных конкурентных условиях. При этом должны учитываться как экономические критерии, так и стратегические, не являющиеся колич. по своей природе. Применение теории нечетких множеств позволяет вводить неквантифицируемую, неполную и частично известную информацию в модели решений. Предлагается использование аналитического иерархического процесса на базе нечеткого мультиатрибутного метода для оценки и обоснования современной производственной системы. Рассматривается пример станочного производства",2008-12 AB06 БД ВИНИТИ,,,1787-1794,,,,,"Expert Syst. Appl.. 2008. 34, N 3, с. 1787-1794. Англ.",34,3,"{""анализ инвестиций"",""Принятие решений"",""производственные системы""}","{""Aguilo Jose"",""Duran Orlando""}",2008-12-01,,1,f,2018-11-17 10:55:27.068784,,,,,,,,,,,0957-4174,,"{28.29.03,282.29.03}","{""Автоматика и радиотехника""}"
49895,11.06-04Ф1.2194,,английский,США,"Люди с РАС испытывают трудности в понимании невербальной речи др. людей, предоставляющей символическую информацию об отношениях между людьми. Изучали, отражают ли эти затруднения проблемы в идентификации единовременно возникающих стимулов разного уровня, или навыков, связанных с памятью, ассоциациями или умозаключениями. Сравнивали выполнение 4-х задач, оценивающих эти процессы, подростками с РАС, подростками с трудностями обучения и нормально развитыми подростками. Группа РАС показала затруднения в идентификации отношений, связанных с единовременно возникающими стимулами. Обсуждают результаты с точки зрения теории концептуального вычитания при РАС и роль процессов внимания в социальном когнитивном развитии. США, Univ. of Texas. E-mail:joshua.i.breifer@uth.tmc.edu",2011-06 MD00 БД ВИНИТИ,,,1723-1734,,,,,"J. Autism and Dev. Disorders. 2009. 39, N 12, с. 1723-1734. Англ.",39,12,"{внимание,""невербальная коммуникация"",""одновременно возникающие стимулы"",""подростковый возраст"",""Расстройства аутистического спектра""}","{""Ames Catherine S"",""Jarrold Chris""}",2011-06-01,,1,f,2018-11-17 10:55:44.630588,,,,,,,,,,,0162-3257,,"{15.31.31,151.31.31.17}","{Биология,Медицина}"
54897,10.02-04И6.22,,английский,Великобритания,"Определяли яркость цвета основанной на каротиноидах окраски оперения самцов зеленушки которым скармливали естественные корма с относительно высоким и низким содержанием лютеина (ЛВ и ЛН) во время ежегодной линьки. Сравнивали влияние эксперимента и общего физического состояния на контрастирующее ярко-желтое хвостовое пятно, желто-зеленую грудь и три более бледных, от желтого до оливково-зеленого, пятна на спине, темени и крестце. Независимо от метода анализа обнаружили постоянные и высокие эффекты диеты на блеск окраски хвоста, более слабые - на блеск оперения груди и незначительные - на другие три изученные части оперения; кроме того, только цвет перьев хвоста был тесно связан с циркулирующим (в плазме) лютином, также как и с общим физическим состоянием (массой тела, гематокритом). Т. обр., в соответствии с современной сигнальной теорией, ярко-желтое хвостовое пятно самцов зеленушки особенно хорошо адаптировано к сигнальной информации о потреблении каротиноидов и об общем физическом состоянии самцов время линьки. Германия, Max Planck Inst. for Ornithol., Radolfzell, 78315. E-mail: peters@orn.mpg.de",2010-02 BI46 БД ВИНИТИ,,,831-839,,,,,"Funct. Ecol.. 2008. 22, N 5, с. 831-839. Англ.",22,5,"{""каротиноиды. Зеленушка"",""Окраска оперения"",""самцы. Линька"",""сигнальные участки"",""яркость цвета""}","{""Andersson Staffan"",""Delhey Kaspar"",""Forschler Marc I"",""Peters Anne"",""van Noordwijk Hendrika""}",2010-02-01,,1,f,2018-11-17 10:56:30.697784,,,,,,,,,,,0269-8463,,"{34.33.27,341.33.27.19.15.43.17.17}",{Биология}
54995,11.05-93.584,,английский,Нидерланды,"В предложенном формализме представления неопределенной информации используется вспомогательная переменная X на области Ω, с помощью которой вместо анализа 2<sup>2<sup style=""font-size:90%"">Ω</sup></sup> вариантов можно перейти к анализу подмножеств 2<sup>Ω</sup>. Описана реализация теории Демпстера-Шафера на построенной решетке. Сложность по сравнению с однозначными переменными возрастает незначительно. Приведены примеры",2011-05 VN00 БД ВИНИТИ,,,479-499,,,,,"Artif. Intell.. 2010. 174, N 7-8, с. 479-499. Англ.",174,7,"{""Теория Дампстера-Шафера. Конъюнктивные знания""}","{""Abdallah Fahed"",""Denux Thierry"",""Younes Zoulficar""}",2011-05-01,,1,f,2018-11-17 10:56:31.8062,,,,,,,,,,,0004-3702,,"{28.23.13,289.23.13.21}","{""Вычислительные науки""}"
55457,10.02-24В.273,,английский,США,"Предлагается адаптируемая система поиска изображений по контенту, разработанная с использованием теории регуляризации, машин на базе ядра и информационной меры Фишера. Эта система состоит из подсистемы поиска, которая выполняет согласование изображений по подобию с использованием зависимой от изображений информации, несколько подсистем, которые адаптивно модифицируют меры подобия и механизм ОС по релевантности, учитывающий информацию от пользователя. Процесс адаптации управляет сходимостью ошибки поиска к нулю. Для улучшения выбора наиболее информативных изображений предлагается новый метод обучения на базе информации Фишера",2010-02 AB10 БД ВИНИТИ,,,1645-1659,32,,7,,"IEEE Trans. Image Process.. 2009. 18, N 7, с. 1645-1659, 7 ил.. Библ. 32. Англ.",18,7,"{""меры Фишера"",""Поиск изображений"",""поиск по контенту""}","{""Azimi-Sadjadi Mahmood R"",""Salazar Jaime"",""Srinivasan Saravanakumar""}",2010-02-01,,1,f,2018-11-17 10:56:35.97696,,,,,,,,,,,1057-7149,,"{47.51.39,473.51.39.15}","{""Автоматика и радиотехника""}"
55478,10.02-24Г.146,,английский,США,"Квантификация качества речевых сигналов традиционно проводится линейными методами, что имеет ряд недостатков. Предлагается квантифицировать качество записанных голосовых сигналов объективными нелинейными мерами. В этом контексте исследуется полезность шести нелинейных хаотических мер, которые базируются на теории нелинейной динамики при дискриминации между двумя уровнями голосового качества: здоровый голос и патологический. Исследуемыми мерами являются энтропии Рени первого и второго порядков, корреляционная энтропия и корреляционная размерность. Эти меры получаются из речевых сигналов в фазовом пространстве. Исследуются также величина первого минимума функции взаимной информации и величина энтропии Шеннона",2010-02 AB11 БД ВИНИТИ,,,1186-1195,49,,5,6,"IEEE Trans. Audio, Speech, and Lang. Process.. 2009. 17, N 6, с. 1186-1195, 5 ил., 6 табл.. Библ. 49. Англ.",17,6,"{""Голосовые сигналы"",""меры качества"",""нелинейные меры""}","{""Alonso Jesus B"",""Diaz-de-Maria Fernando"",""Ferrer Miguel A"",""Godino-Llorente Juan I"",""Henriquez Patricia"",""Travieso Carlos M""}",2010-02-01,,1,f,2018-11-17 10:56:36.168563,,,,,,,,,,,1558-7916,,"{47.55.35,473.55.35.19}","{""Автоматика и радиотехника""}"
58266,07.02-18В.0166,,английский,Нидерланды,"Дан обзор последних экспериментов по γ-спектроскопии Λ-гиперядер p-оболочки, выполненных при помощи германиевого детектора с большим аксептансом и высоким разрешением. Измерены энергии возбуждения состояний дублета в <sup>9</sup><sub>Λ</sub>Be, разность которых дает прямую информацию о спин-орбитальном взаимодействии Λ-гиперона, которое очень мало. Измерена энергия первого возбужденного состояния <sup>16</sup><sub>Λ</sub>O, что позволило определить величину тензорного ΛN-взаимодействия. Отсутствие γ-квантов от гиперядра <sup>10</sup><sub>Λ</sub>B свидетельствует либо о том, что энергия первого возбужденного состояния меньше 100 кэВ, либо о том, что спин основного состояния отличается от предсказанного теорией. Измерен также полный спектр гиперядра <sup>7</sup><sub>Λ</sub>Li и получены предварительные результаты для <sup>11</sup><sub>Λ</sub>B.     (Д. Е. Ланской)",2007-02 FI06 БД ВИНИТИ,,,58-69,,,,,"Nucl. Phys. A. E930('01), E509, E518 Collab.. 2005. 754, с. 58-69. Англ.",754,,"{""NCHM. NCWE. NKDKB. NEJY""}","{""Ajimura S"",""Akikawa H et al"",""Tamura H""}",2007-02-01,,1,f,2018-11-17 10:57:03.2806,,,,,,,,,,,0375-9474,,"{29.15.03,29.15.15,29.15.19,291.15.03.43.03,291.15.15.13.99,291.15.19.19.27.15}",{Физика}
65332,05.24-19И.126,,английский,США,"Продолжена работа по моделированию геометрии, капельного течения жидкости и перепада давления с целью изучения массопередачи в насадочных колоннах. На основе теории проникания и подробной информации о боковых и осевых изменениях геометрии насадки и гидродинамики, разработана прогнозирующая модель массопередачи в масштабе, гораздо меньшем, чем частицы насадки для случая произвольных заполнений, или каналы течения для случая структурированных насадок. Эксперименты по перегонке выполнялись для смесей метанол/2-пропанол и метанол/вода с металлическими кольцами Палла диаметром 16 мм. Модель обосновывалась при помощи экспериментальных результатов и ранее полученных данных на новых структурированных насадках из вертикальных листов. Выполнены имитации при равномерном и неравномерном начальных распределениях, которые обнаружили сильное влияние распределения потока жидкости на эффективность массопередачи в колоннах с насадкой",2005-24 CH04 БД ВИНИТИ,,,5373-5382,,,,,"Ind. and Eng. Chem. Res.. 2003. 42, N 21, с. 5373-5382. Англ.",42,21,"{""базирующееся на геометрических параметрах"",Массоперенос,""насадочные. Моделирование математическое"",""прогнозирование. Колонны""}","{""Afacan A"",""Chuang K T"",""Nandakumar K"",""Wen X""}",2010-12-01,,1,f,2018-11-17 10:58:13.936385,,,,,,,,,,,0888-5885,,"{61.13.19,611.13.19.24}",{Химия}
65865,01.07-93.341,,английский,Нидерланды,"Рассмотрена задача определения параметров в модели многокритериального принятия решений. Предложен подход к описанию словесной информации от пользователя, основанный на теории возможностей. Описан метод целевого программирования для поиска вектора решения, ближайшего к нечеткой цели. Представлена реализация метода; приведен пример ее работы",2001-07 VN00 БД ВИНИТИ,,,338-344,11,,,,"Eur. J. Oper. Res.. 1999. 119, N 2, с. 338-344. Библ. 11. Англ.",119,2,"{""Линейное программирование. Теория возможностей""}","{""Arenas Parra M"",""Bilbao Terol A"",""Rodriguez Uria M V""}",2001-07-01,,1,f,2018-11-17 10:58:17.893827,,,,,,,,,,,0377-2217,,"{28.25.23,289.25.23.47}","{""Вычислительные науки""}"
